lane,Country,Year,Serotype,ST
4021_3_12,Korea,1999,23B,81
4021_3_3,Korea,1999,23F,81
4021_3_4,Korea,1999,19F,81
4021_5_1,Korea,1999,23F,81
4021_5_2,Korea,1998,23F,81
4021_5_4,Korea,1998,23F,81
4075_8_2,Korea,1998,23F,81
4021_5_5,Korea,1998,6A,81
4021_5_6,Korea,1998,UT,81
4021_5_7,Korea,2007,6A,81
4021_5_8,Korea,2007,6A,81
4021_5_9,Korea,2007,23F,81
4021_5_10,Korea,2004,,81
4021_5_11,Korea,2004,,81
4021_5_3,Korea,2004,,81
3948_7_2,Vietnam,1998,23F,81
3948_7_5,Vietnam,1999,23F,81
3948_7_7,Vietnam,1997,23F,81
3948_7_10,Vietnam,1997,23F,81
3948_7_11,Vietnam,2000,23F,81
4021_2_3,Vietnam,1999,23F,81
4021_2_5,Vietnam,1997,23F,81
4021_2_7,Vietnam,1999,23F,81
4021_2_6,Vietnam,1997,23F,81
4021_2_10,Vietnam,1997,23F,81
4075_8_1,Spain,1984,23F,81
4232_7_9,Denmark,1987,,
4232_7_8,Denmark,1994,,
4232_7_7,Denmark,1993,,
4232_7_6,Denmark,1993,,
4232_7_5,Denmark,1995,,
4232_7_4,Denmark,1996,,
4232_7_3,Denmark,1998,,
4232_7_2,Denmark,1996,,
4021_6_1,USA,2001,19F,81
4021_6_2,USA,2001,23F,81
4021_6_3,USA,1999,23F,81
4021_6_4,Croatia,2001,23F,285
4021_6_5,Croatia,2001,14,285
4021_6_6,Croatia,2001,23F,285
4021_6_7,USA,2005,23F,81
4075_8_7,USA,2005,19A,81
4021_6_8,USA,2005,19A,2346
4021_6_9,USA,2005,19A,2346
4021_6_10,USA,2005,19A,2346
4270_2_1,USA,2005,19A,2346
4075_8_8,USA,2005,19A,2346
4270_2_2,USA,2002,23F,81
4270_2_3,USA,1998,23F,81
4270_2_4,USA,1998,23F,81
4270_2_5,USA,1998,23F,81
4270_2_6,USA,2006,19A,81
4270_2_7,USA,2006,19A,81
4270_2_8,USA,2006,19A,81
4270_2_9,USA,2007,19A,81
4270_2_10,USA,2007,19A,81
4021_8_1,USA,2007,19A,81
4021_8_2,USA,2007,19A,81
4075_8_3,Spain,2001,23F,81
4021_8_3,South Africa,2001,23F,81
4021_8_4,Turkey,2005,23F,81
4021_8_5,Turkey,2005,6A,81
4021_8_6,Turkey,2005,6A,81
4021_8_7,Turkey,2005,23F,81
4021_8_8,Turkey,2005,23F,81
4021_8_9,Turkey,2005,19F,81
4021_8_10,Turkey,2005,6A,81
4075_6_1,Turkey,2005,6A,81
4075_6_2,Turkey,2005,6A,81
4075_6_3,Turkey,2005,23F,81
4075_6_4,Turkey,2005,23F,81
4075_6_5,Turkey,2005,23F,81
4075_6_6,China,2006,15B,83
4075_8_6,China,2006,15B,83
4075_6_7,China,2006,15B,83
4075_6_8,China,2006,23F,81
4254_1_1,UK,2004,23F,81
4275_1_10,UK,2004,23F,81
4275_1_7,UK,2004,23F,81
4275_1_6,UK,2004,23F,81
4275_1_5,UK,2004,23F,81
4275_1_4,UK,2004,23F,81
4275_1_3,UK,2004,23F,81
4275_1_2,UK,2004,23F,81
4275_1_11,UK,2004,23F,81
4275_1_9,UK,2005,23F,81
4275_1_8,UK,2006,23F,81
4270_7_1,UK,2002,23F,81
4270_7_2,UK,2002,23F,2532
4270_7_3,UK,2003,23F,81
4270_7_4,UK,2003,23F,81
4270_7_5,UK,2003,23F,81
4270_7_6,UK,2003,23F,81
4270_7_7,UK,2003,23F,81
4270_7_8,UK,2003,23F,1623
4270_7_9,UK,2003,23F,81
4270_7_10,UK,2004,23F,2508
4270_8_1,UK,2005,23F,81
4270_8_2,UK,2007,23F,3456
4270_8_3,UK,2007,19F,81
4270_8_4,UK,2007,3,81
4270_8_5,UK,1990,23,
4270_8_6,UK,1990,23,
4270_8_7,UK,1990,23,
4270_8_8,UK,1990,23,
4270_8_9,,,,
4270_8_10,,,,
4882_1_2,,,,
4882_1_3,,,,
4882_1_4,,,,
4882_1_5,,,,
4882_6_1,Mexico,1994,23F,
4882_6_2,Mexico,1995,23F,
4882_6_3,Mexico,1995,23F,
4882_6_4,Mexico,1995,23F,
4882_6_5,Mexico,1995,23F,
4882_6_6,Mexico,1996,23F,
4882_6_7,Mexico,1995,23F,
4882_6_8,Mexico,1994,23F,
4882_6_9,Mexico,1996,23F,
4882_6_10,Mexico,1994,23F,
4882_6_11,Mexico,1994,23F,
4882_7_3,Uruguay,1993,23F,
4882_7_4,Uruguay,1994,23F,
4882_7_5,Uruguay,1996,23F,
4882_7_6,Argentina,1995,23F,
4882_7_7,Colombia,1995,23F,
4882_7_8,USA,1995,23F,
4882_7_9,USA,1995,23F,
4882_5_1,USA,1998,23F,
4882_5_2,USA,1998,23F,
4882_5_3,USA,1998,23F,
4882_5_4,USA,1998,23F,
4882_5_5,USA,1998,23F,
4882_5_6,USA,1998,23F,
4882_5_7,USA,1998,23F,
4882_5_8,USA,1998,23F,
4882_5_9,USA,1998,23F,
4882_5_10,Spain,1989,23F,
4882_7_1,Spain,1989,23F,
4882_7_10,USA,1989,23F,
4882_8_1,Canada,1994,,
4882_8_2,Canada,1997,,81
4882_8_3,Canada,1997,,81
4882_8_4,Canada,1998,,81
4882_8_5,Canada,2009,,81
4882_8_6,Canada,2007,,81
4882_8_7,Canada,2007,,36
4882_8_8,Canada,2008,,81
4882_8_9,Canada,2008,,37
4882_8_10,Canada,2009,,36
4882_8_11,Canada,2007,,81
4882_8_12,Canada,2007,,242
4882_7_2,Mexico,1905,,
